Titlu,nume,judet,oras,adresa,longitudine,latitudine
AB-SPITALUL DE BOLI CRONICE CAMPENI,Spitalul de Boli Cronice Campeni,Judetul Alba,Oras Campeni,"Strada Crisan 11, 515500 Campeni",23.04543,46.3657495
AB-SPITALUL DE PNEUMOFTIZIOLOGIE AIUD,SPITALUL DE PNEUMOFTIZIOLOGIE AIUD,Judetul Alba,Municipiu Aiud,"Str. Varga Ecaterina, 6, Aiud, Alba, 515200, Strada Ecaterina Varga, 515200 Aiud",23.7192839,46.3057866
AB-SPITALUL DR. ALEXANDRU BORZA ABRUD,"Spitalul Orasenesc ""Dr. Alexandru Borza""",Judetul Alba,Oras Abrud,"Strada Republicii 13, 515100 Abrud",23.0824202,46.2659645
AB-SPITALUL JUDETEAN DE URGENTA ALBA IULIA,Spitalul Judetean de Urgente Alba,Judetul Alba,Municipiu Alba Iulia,"Bulevardul Revolutiei 1989 23, Alba Iulia",23.5570948,46.0715636
AB-SPITALUL MUNICIPAL AIUD,Spitalul Municipal,Judetul Alba,Municipiu Aiud,"Strada Spitalului 2, 515200 Aiud",23.7234201,46.3078587
AB-SPITALUL MUNICIPAL BLAJ,Spitalul Municipal Blaj,Judetul Alba,Municipiu Blaj,"Strada Andrei Muresanu 16, 515400 Blaj",23.92412,46.17934
AB-SPITALUL MUNICIPAL SEBES,Spitalul Municipal Sebes,Judetul Alba,Municipiu Sebes,"Strada Surianu 41, 515800 Sebes",23.5676841,45.9514021
AB-SPITALUL ORASENESC CAMPENI,Spital Orasenesc Campeni,Judetul Alba,Oras Campeni,"Strada Horea, 515500 Campeni",23.0419363,46.3624373
AB-SPITALUL ORASENESC CUGIR,Spitalul Orasenesc Cugir,Judetul Alba,Alba,"Strada Nicolae Balcescu 5, 515600 Cugir",23.364086,45.8368645
AG-ENDOSCOPIE ARGES SRL,Endoscopie Arges - Gastro Clinic Pitesti,Judetul Arges,Municipiu Pitesti,"Strada Unirii 5, Pitesti",24.8759482,44.8539122
AG-GRAL MEDICAL SRL BUCURESTI PUNCT DE LUCRU PITESTI,Clinica Gral Pitesti,Judetul Arges,Municipiu Pitesti,"Bulevardul Nicolae Balcescu 90, 110087 Pitesti",24.8495824,44.8735982
AG-MEDICOVER SRL PUNCT DE LUCRU PITESTI,Centrul Medical de Reabilitare si Preventie Doctor Luca,Judetul Arges,Municipiu Pitesti,"Strada Constantin Statescu, Pitesti",24.8547294,44.8674515
AG-SPITALUL DE BOLI CRONICE CALINESTI,Spitalul de Boli Cronice Calinesti,Judetul Arges,Comuna Calinesti,"Strada Dr. Ion Craciun Nr. 484, 117195 Calinesti",25.0444136,44.8292275
AG-SPITALUL DE GERIATRIE SI BOLI CRONICE CONSTANTIN BALACEANU STOLNICI STEFANESTI,"Spitalul de Geriatrie si Boli Cronice ""Constantin Balaceanu-Stolnici"" Stefanesti",Judetul Arges,Oras Stefanesti,"Strada Coasta Campului 54, Stefanestii Noi",24.924271,44.865823
AG-SPITALUL DE PEDIATRIE PITESTI,Spitalul de Pediatrie Pitesti,Judetul Arges,Municipiu Pitesti,"Bulevardul Eroilor 1, Pitesti",24.8651963,44.8508232
AG-SPITALUL DE PNEUMOFTIZIOLOGIE CAMPULUNG,Spitalul de Pneumoftiziologie Campulung,Judetul Arges,Municipiu Campulung,"Strada Lascar Catargiu 38, 115100 Campulung",25.0474888,45.2776999
